code,name,price,change_pct,pe_ttm,pb,mcap_yi
000656,*ST金科,1.46,0.0,0.5,3.92,110.57
000498,山东路桥,5.34,1.33,3.86,0.5,77.4
600015,华夏银行,6.86,2.24,4.03,0.34,1055.56
601997,贵阳银行,6.01,1.35,4.16,0.33,219.74
603323,苏农银行,4.83,1.9,4.72,0.5,97.5
601577,长沙银行,9.69,2.0,4.73,0.53,389.6
601528,瑞丰银行,4.85,1.89,4.85,0.48,84.12
601818,光大银行,3.14,1.29,4.91,0.37,1457.17
000001,平安银行,10.99,0.55,4.95,0.46,2132.68
601336,新华保险,58.75,-1.59,4.97,1.48,1225.2
601186,中国铁建,6.49,1.41,5.01,0.32,746.56
601166,兴业银行,18.44,-0.32,5.04,0.47,3902.43
002958,青农商行,2.93,2.09,5.1,0.43,159.38
600908,无锡银行,5.59,2.57,5.27,0.53,111.76
601668,中国建筑,4.85,0.41,5.28,0.4,2004.04
002839,张家港行,4.34,2.36,5.32,0.56,105.98
601169,北京银行,5.17,1.57,5.33,0.39,1093.09
600016,民生银行,3.59,1.13,5.36,0.27,1273.09
002807,江阴银行,4.09,3.28,5.38,0.56,110.57
601229,上海银行,9.26,2.55,5.43,0.52,1315.76
601128,常熟银行,7.22,1.83,5.52,0.75,239.45
601390,中国中铁,4.82,1.05,5.61,0.37,987.08
601601,中国太保,32.02,-0.5,5.71,0.96,2191.78
601998,中信银行,7.43,0.13,5.81,0.56,3028.69
600502,安徽建工,5.34,0.95,5.92,0.75,91.66
600919,江苏银行,11.39,0.89,5.92,0.79,2090.22
600928,西安银行,3.59,2.28,5.92,0.44,158.8
601838,成都银行,18.95,1.88,5.98,0.87,803.18
600926,杭州银行,16.37,2.25,6.04,0.85,1186.66
002948,青岛银行,5.67,1.43,6.05,0.78,199.71
601077,渝农商行,6.68,0.6,6.16,0.56,590.39
600000,浦发银行,9.32,-0.53,6.17,0.41,3104.1
601328,交通银行,6.79,1.95,6.22,0.52,1770.32
601009,南京银行,11.23,4.17,6.23,0.74,1388.43
600036,招商银行,38.2,0.5,6.39,0.85,7880.26
601916,浙商银行,3.06,2.0,6.48,0.46,659.26
601665,齐鲁银行,6.23,2.47,6.49,0.76,383.38
601628,中国人寿,33.58,-0.74,6.56,1.59,6992.54
001227,兰州银行,2.15,1.42,6.66,0.4,90.68
601825,沪农商行,8.64,1.65,6.75,0.63,809.95
002966,苏州银行,8.3,1.84,6.78,0.72,364.82
000885,城发环境,13.5,2.43,6.79,0.89,86.68
601658,邮储银行,5.02,0.8,6.86,0.58,3640.9
002142,宁波银行,31.41,1.22,6.89,0.89,2072.88
601398,工商银行,7.3,1.11,7.01,0.67,19681.69
601319,中国人保,6.84,0.0,7.1,0.95,2428.05
600704,物产中大,5.0,0.6,7.16,0.61,258.56
000913,钱江摩托,11.66,2.28,7.21,1.22,60.64
601117,中国化学,7.84,1.55,7.3,0.7,475.86
601187,厦门银行,7.45,4.63,7.33,0.72,196.19
601318,中国平安,53.85,0.65,7.34,0.96,5740.45
601963,重庆银行,11.86,-1.33,7.38,0.74,241.24
000544,中原环保,8.12,2.65,7.44,0.84,79.14
600741,华域汽车,16.98,1.62,7.46,0.79,535.33
000651,格力电器,39.09,-0.2,7.5,1.44,2158.55
000623,吉林敖东,17.38,0.75,7.57,0.66,206.99
600064,南京高科,7.75,1.31,7.6,0.68,134.1
601939,建设银行,10.08,1.2,7.71,0.74,967.04
601288,农业银行,6.49,2.69,7.72,0.82,20718.95
601860,紫金银行,2.64,3.13,7.72,0.47,93.76
601988,中国银行,5.93,1.19,7.79,0.7,12498.4
000685,中山公用,11.53,0.61,7.84,0.88,143.73
601800,中国交建,6.52,1.09,7.93,0.36,768.3
601717,中创智领,18.35,1.05,8.0,1.31,282.99
600820,隧道股份,5.78,0.52,8.33,0.57,181.73
002936,郑州银行,1.8,1.69,8.39,0.35,126.53
688330,宏力达,38.7,2.44,8.59,1.23,54.18
600018,上港集团,5.14,0.19,8.76,0.82,1194.88
600970,中材国际,8.98,1.24,8.87,1.01,235.44
600269,赣粤高速,4.42,1.61,9.16,0.52,103.22
002668,TCL智家,9.55,2.25,9.18,2.85,103.53
600987,航民股份,6.68,2.14,9.24,1.04,68.19
600210,紫江企业,6.69,0.6,9.34,1.47,101.47
000776,广发证券,19.0,0.58,9.5,1.08,1121.77
601688,华泰证券,18.53,1.93,9.54,0.94,1353.94
002736,国信证券,10.15,0.3,9.58,1.04,975.66
000987,越秀资本,7.97,-0.75,9.61,1.2,399.56
600861,北京人力,14.57,2.46,9.8,1.09,53.41
