code,name,price,change_pct,pe_ttm,pb,mcap_yi
600639,浦东金桥,9.86,-1.6,10.61,0.73,83.83
300926,博俊科技,20.22,1.76,10.66,2.49,60.25
600713,南京医药,5.08,-0.78,10.69,0.9,65.52
600096,云天化,31.07,0.19,10.71,2.37,566.4
600062,华润双鹤,16.96,0.41,10.84,1.45,176.08
600710,苏美达,11.44,-0.95,10.9,1.75,149.49
601598,中国外运,6.18,1.15,10.92,1.06,318.73
600461,洪城环境,10.04,-2.62,10.95,1.26,128.93
601677,明泰铝业,19.68,3.2,11.01,1.24,244.68
002546,新联电子,7.42,-2.5,11.01,1.63,59.45
600282,南钢股份,5.16,3.2,11.02,1.16,318.12
600483,福能股份,11.38,-1.56,11.08,1.14,316.38
600873,梅花生物,9.44,0.32,11.12,1.61,264.72
000686,东北证券,7.93,-0.5,11.18,0.91,185.6
300773,拉卡拉,23.97,-2.56,11.18,3.82,176.07
600999,招商证券,17.13,0.06,11.19,1.2,1271.39
600030,中信证券,25.58,-0.35,11.25,1.3,3114.76
000404,长虹华意,8.25,-0.36,11.26,1.3,57.15
000166,申万宏源,4.46,0.68,11.3,0.97,1005.08
002170,芭田股份,11.85,-2.23,11.34,3.29,93.27
600612,老凤祥,36.65,-0.41,11.35,1.4,116.22
601827,三峰环境,8.52,-0.7,11.38,1.14,142.45
603889,新澳股份,6.02,-1.31,11.45,1.61,56.72
000563,陕国投Ａ,3.0,-0.66,11.49,0.84,153.42
600368,五洲交通,3.99,0.0,11.51,0.87,64.23
603565,中谷物流,10.88,1.78,11.53,2.18,228.49
600694,大商股份,15.23,-2.5,11.54,0.66,57.69
600023,浙能电力,6.39,-4.63,11.58,1.11,856.82
601163,三角轮胎,14.11,-0.84,11.58,0.8,112.88
601298,青岛港,9.36,-0.32,11.59,1.29,504.7
601326,秦港股份,3.35,-1.18,11.6,0.9,159.38
002091,江苏国泰,9.0,-0.11,11.6,0.92,143.84
000708,中信特钢,13.94,-0.99,11.62,1.66,703.57
002608,江苏国信,10.42,2.96,11.64,1.1,393.68
002867,周大生,12.3,-1.91,11.67,1.97,132.73
601555,东吴证券,7.93,-0.13,11.68,0.9,394.02
600098,广州发展,8.02,-0.25,11.7,1.01,281.17
603529,爱玛科技,21.91,-1.88,11.7,2.02,185.7
600901,江苏金租,6.66,2.62,11.72,1.49,385.64
002078,太阳纸业,13.72,-1.65,11.72,1.23,381.05
000528,柳    工,8.98,-0.88,11.74,0.96,182.67
002215,诺 普 信,9.07,-1.84,11.74,1.99,72.83
600273,嘉化能源,7.31,-2.27,11.75,0.97,95.86
000828,东莞控股,10.11,-1.08,11.82,1.04,105.1
601058,赛轮轮胎,12.75,0.63,11.84,1.87,419.23
600323,瀚蓝环境,31.0,-1.34,11.86,1.66,252.76
000028,国药一致,23.39,-0.97,11.88,0.69,111.82
000527,美的电器,14.02,0.0,11.88,2.1,474.49
001872,招商港口,22.29,0.32,11.89,0.84,513.12
601518,吉林高速,3.1,-0.96,11.92,1.01,58.61
002532,天山铝业,15.39,2.87,11.92,2.36,632.05
603444,吉比特,336.52,-1.62,11.95,4.41,242.43
600428,中远海特,8.05,-0.25,12.0,1.29,172.81
002128,电投能源,31.4,-2.45,12.01,1.5,703.85
600332,白云山,21.78,0.32,12.02,0.9,306.2
000550,江铃汽车,17.02,1.73,12.02,1.22,88.24
600528,中铁工业,7.42,-1.46,12.05,0.65,164.84
300724,捷佳伟创,75.58,-3.87,12.08,1.94,217.45
601766,中国中车,5.69,-1.56,12.09,0.93,1384.25
600801,华新建材,18.92,0.37,12.1,1.2,253.85
000030,富奥股份,4.67,-0.21,12.1,0.94,78.03
000807,云铝股份,30.29,4.77,12.1,2.95,1050.43
600827,百联股份,8.38,-1.87,12.15,0.73,134.45
600998,九州通,4.89,-0.2,12.22,0.9,246.58
002011,盾安环境,12.01,-3.22,12.22,1.89,127.25
601898,中煤能源,16.4,-2.9,12.25,1.33,1500.93
601000,唐山港,4.32,0.0,12.26,1.23,256.0
000932,华菱钢铁,4.02,-1.47,12.26,0.49,275.47
600061,国投资本,6.46,-0.46,12.27,0.76,413.05
600897,厦门空港,15.06,-0.33,12.32,1.26,62.79
601857,中国石油,10.66,-1.48,12.33,1.2,17260.89
603071,物产环能,14.51,-1.23,12.33,1.41,80.96
688332,中科蓝讯,94.42,2.19,12.35,3.34,168.53
600717,天津港,4.53,-0.44,12.38,0.64,131.1
000690,宝新能源,5.89,-3.13,12.39,1.01,128.08
002705,新宝股份,12.69,-1.55,12.39,1.19,102.55
601108,财通证券,7.9,0.51,12.4,0.96,366.86
000933,神火股份,30.88,2.08,12.43,2.77,694.0
002060,广东建工,3.57,-1.92,12.44,0.96,55.79
600551,时代出版,7.38,-2.12,12.48,0.84,50.04
601098,中南传媒,11.16,-0.71,12.48,1.21,200.43
300770,新媒股份,35.3,-1.48,12.51,2.26,80.43
600035,楚天高速,3.91,-0.51,12.53,0.69,62.96
603613,国联股份,23.08,-2.41,12.54,1.77,166.3
603833,欧派家居,38.1,-3.88,12.59,1.25,232.09
600761,XD安徽合,17.2,-1.55,12.6,1.43,153.2
600233,圆通速递,17.85,-4.19,12.62,1.69,610.95
000848,承德露露,8.17,-0.97,12.62,2.6,82.61
600583,海油工程,5.68,-0.87,12.67,0.87,251.13
000999,华润三九,24.58,0.24,12.68,1.84,408.69
601019,山东出版,7.17,-2.18,12.69,0.95,149.63
600019,宝钢股份,5.94,-1.66,12.76,0.62,1293.86
002206,海 利 得,5.51,-0.36,12.86,1.64,58.24
601107,四川成渝,6.26,-0.32,12.9,1.1,135.39
600398,海澜之家,5.87,0.0,12.93,1.63,281.92
600211,西藏药业,38.88,1.25,12.95,3.46,125.32
603995,甬金股份,20.21,-1.37,12.96,1.25,73.89
002440,闰土股份,9.29,-1.48,12.97,1.03,87.92
601901,方正证券,6.72,-1.03,12.98,1.06,553.2
000680,山推股份,10.99,-2.31,12.99,2.55,144.48
601211,国泰海通,16.22,2.21,13.02,0.88,2189.2
601018,宁波港,3.47,-1.14,13.07,0.84,675.07
603187,海容冷链,13.17,-2.44,13.08,1.18,50.36
000568,泸州老窖,88.5,-2.1,13.1,2.52,1302.06
601921,浙版传媒,7.41,-2.5,13.12,1.13,164.67
600517,国网英大,5.32,-1.66,13.13,1.27,304.22
600780,通宝能源,7.49,-4.71,13.17,1.0,85.87
600008,首创环保,3.24,1.25,13.19,1.12,237.84
002140,东华科技,10.33,-2.18,13.19,1.5,73.03
601918,新集能源,10.97,-2.75,13.2,1.63,284.18
601139,深圳燃气,6.63,-1.49,13.23,1.16,190.73
002004,华邦健康,4.58,-1.08,13.26,0.87,86.26
600496,精工钢构,4.22,3.94,13.28,0.9,83.98
603338,浙江鼎力,50.75,0.22,13.36,2.17,256.97
000786,北新建材,22.55,-3.01,13.38,1.37,380.98
002508,老板电器,17.33,0.06,13.4,1.39,161.78
600938,中国海油,35.18,1.03,13.41,2.0,1051.88
600507,方大特钢,4.64,-4.13,13.42,1.09,107.33
600742,富维股份,8.09,-1.94,13.42,0.71,60.11
601928,凤凰传媒,9.03,-1.74,13.43,1.13,229.8
002555,三七互娱,19.57,-0.86,13.43,3.29,310.65
601311,骆驼股份,8.72,-1.13,13.45,1.0,102.3
600867,通化东宝,8.5,-1.16,13.46,2.3,166.48
000728,国元证券,7.18,-0.14,13.46,0.81,313.32
600983,惠而浦,8.8,-1.01,13.52,2.19,67.45
600066,宇通客车,33.35,2.08,13.53,6.26,738.35
601877,正泰电器,28.99,-1.46,13.53,1.37,622.99
600109,国金证券,8.74,1.16,13.57,0.9,323.85
600958,东方证券,9.25,-0.54,13.59,0.96,690.93
002648,卫星化学,23.64,-0.71,13.59,2.25,795.84
601899,紫金矿业,31.58,4.6,13.61,4.26,6506.05
600060,海信视像,26.01,-0.5,13.63,1.56,338.17
600057,厦门象屿,6.28,-3.24,13.66,1.13,131.41
600177,雅戈尔,7.58,-1.04,13.66,0.83,341.36
603816,顾家家居,29.39,0.62,13.66,2.18,238.7
002926,华西证券,8.15,-0.49,13.69,0.85,213.94
600595,中孚实业,7.55,3.28,13.7,1.76,302.6
600585,海螺水泥,20.13,-0.89,13.73,0.55,805.14
600642,申能股份,10.65,-1.02,13.75,1.37,521.19
000899,赣能股份,14.35,-1.17,13.79,2.1,140.01
300388,节能国祯,7.66,-1.79,13.79,1.09,52.17
600377,宁沪高速,13.02,0.7,13.81,1.51,495.04
